"productId","language","packageName","version","referenceUrl"
"49","RUBY","google-cloud-build","GA","https://googleapis.dev/ruby/google-cloud-build/latest"
"491","PHP","google/cloud-apigee-connect","BETA","http://googleapis.github.io/google-cloud-php/#/docs/cloud-apigee-connect/latest"
"361","CSHARP","Google.Cloud.Bigtable.Admin.V2","GA","https://cloud.google.com/dotnet/docs/reference/Google.Cloud.Bigtable.Admin.V2/latest"
"12","GO","cloudtasks/apiv2","GA","https://cloud.google.com/go/docs/reference/cloud.google.com/go/cloudtasks/latest/apiv2"
"74","NODEJS","@google-cloud/trace-agent","BETA","https://cloud.google.com/nodejs/docs/reference/trace-agent/latest"
"1","RUBY","google-cloud-iot-v1","BETA","https://googleapis.dev/ruby/google-cloud-iot-v1/latest"
"17","RUBY","google-cloud-logging","GA","https://googleapis.dev/ruby/google-cloud-logging/latest"
"492","GO","gkeconnect/gateway/apiv1beta1","BETA","https://cloud.google.com/go/docs/reference/cloud.google.com/go/gkeconnect/latest/gateway/apiv1beta1"
"267","NODEJS","@google-cloud/recommender","GA","https://cloud.google.com/nodejs/docs/reference/recommender/latest"
"12","PHP","google/cloud-tasks","GA","http://googleapis.github.io/google-cloud-php/#/docs/cloud-tasks/latest"
"110","RUBY","google-cloud-storage_transfer-v1","BETA","https://googleapis.dev/ruby/google-cloud-storage_transfer-v1/latest"
"110","PHP","google/cloud-storage-transfer","BETA","http://googleapis.github.io/google-cloud-php/#/docs/cloud-storage-transfer/latest"
"330","NODEJS","@google-cloud/grafeas","GA","https://cloud.google.com/nodejs/docs/reference/grafeas/latest"
"252","GO","phishingprotection/apiv1beta1","BETA","https://cloud.google.com/go/docs/reference/cloud.google.com/go/phishingprotection/latest/apiv1beta1"
